id,autor,titulo,editorial,anio,clasificacion
3692,"Miller, G. A.",Introducción a la psicología,Alianza,1970,BF131 M54 1970
3693,"Arnau, J.",Motivación y conducta,Fontanella,1974,BF199 A74 1974
3694,"Morales, M. L.",Psicometría aplicada,Trillas,1975,BF39 M66 1975
3695,"BUNGE, Mario",La ciencia  su método y su filosofía,Siglo XXI,1975,Q171 B9654 1975
3696,"Bateman, H.","Higher transcendental functions Volume 2 (Higher
funciones trascendentales Vol. II)",McGraw-Hill,1953,QA351 B2 1953 V.2
3697,"Whittaker, J. O.",Psicología,Interamericana,1971,BF121 W47 1971
3698,"Marion, J. B.","Physics and the physical universe (La física y el universo
físico)",John Wiley & Sons,1975,QC21.2 M364 1971
3699,"Gibson, A. F., R. E. Burgesss & F. A. Kröger","Progress in semiconductors Volume 5 (Avances en
semiconductores V. V)",John Wiley & Sons,1960,TK7872.S4 P72 1960 V.5
3700,"Gibson, A. F., R. E. Burgesss & F. A. Kröger","Progress in semiconductors Volume 6 (Avances en
semiconductores V. VI)",John Wiley & Sons,1962,TK7872.S4 P72 1962 V.6
3701,"Blum, L. & F. B. Malik","Condensed MATTER THEORIES Vol. 8 (Las teorías de la
materia condensada Vol. VIII)",Plenum Press,1993,QC173.4.C65 I57 1993 V.8
3702,"Rey Martínez, F.",El derecho fundamental a no ser discriminado por razón de sexo,Consejo Nacional para Prevenir Discriminación,2007,KGF3008 R49 2007
3703,"Siegbahn, K. [et. Al]","ESCA Applied to free molecules (Aplicado a moléculas
libres)",North-Holland,1969,QD95 E19 1969
3704,"Dollard, J. & N. E. Miller","Personality and psychotherapy: an analysis in terms of learning, thinking, and culture (Personalidad y psicoterapia: de un análisis en términos de aprendizaje, el pensamiento y la cultura)",McGraw-Hill,1950,BF67 D64 1950
3705,"Eckel, B.",Piensa en Java,Pearson Educación,2002,QA76.73J38 E3518 2002
3706,"Simental Franco, V. A.",Derecho ambiental,Limusa,2010,KGF3421 S5646 2010
3707,"Carlson, N. R.",Fisiología de la conducta,Pearson Educación,2006,QP306 C3757 2006
3708,Unión Tipográfica Editorial Hispano Amaricana,"Diccionario enciclopedico T.I , A-Azz",UTEHA,1953,AE65 D54 1953 T.1
3709,Unión Tipográfica Editorial Hispano Amaricana,"Diccionario enciclopedico T.II , B-CD",UTEHA,1953,AE65 D54 1953 T.2
3710,Unión Tipográfica Editorial Hispano Amaricana,"Diccionario enciclopedico T.III , Ce-Des",UTEHA,1953,AE65 D54 1953 T.3
3711,Unión Tipográfica Editorial Hispano Amaricana,"Diccionario enciclopedico T.VI , His-LLw",UTEHA,1953,AE65 D54 1953 T.6
3712,Unión Tipográfica Editorial Hispano Amaricana,"Diccionario enciclopedico T.VII , M-Ozz",UTEHA,1953,AE65 D54 1953 T.7
3713,Unión Tipográfica Editorial Hispano Amaricana,"Diccionario enciclopedico T.VIII , P-Rob",UTEHA,1953,AE65 D54 1953 T.8
3714,Unión Tipográfica Editorial Hispano Amaricana,"Diccionario enciclopedico T.IX , Rob-Ter",UTEHA,1953,AE65 D54 1953 T.9
3715,"Robbins, S. P.",Administración: Teoría y práctica,Prentice Hall,1987,HD31 R635 1987
3716,"Flores Jacinto, P.",Prevención y control de la contaminación del suelo,El autor,2013,TD878 F56 2013
3717,"Chapman, S. N.",Planificación y control de la producción,Pearson Educación,2006,TS176 C4318 2006
3718,"Mijarez Castro, M. A.",Electrónica,Gpo. Editorial Patria,2012,TK7815 M55 2012
3719,"Bartholomai, A.","Fábricas de alimentos: Procesos, equipamiento, costos",Acribia,2001,TP373 F32 2001
3720,"Pérez López, C.","Microsoft SQL Server 2005: Administración y análisis de
bases de datos",Alfaomega,2007,QA76.9.C55 S7218 2007
3721,"Huidobro Moya, J. M. & R. J. Millán Tejedor",Domótica. Edificios inteligentes,Limusa,2007,TK7881 H85 2007
3722,"Kuo, B. C.",Sistemas de control digital,Gpo. Editorial Patria,2009,TJ216 K84 2009
3723,"Domínguez, S., P. Campoy, J. M. Sebastián & A.
Jiménez",Control en el espacio de estado,Pearson Educación,2006,QA402 C647 2006
3724,"Buzan, T. & B. Buzan",El libro de  los mapas mentales. Cómo utilizar al máximo las capacidades de la mente,Urano,1996,BF431 B8918 1996
3725,"Beltrán Llera, J. A.","Procesos, estrategias y técnicas de aprendizaje",Síntesis,2010,LB1051 B3652 2010
3726,"Lara Muñoz, E. M.","Fundamentos de investigación: un enfoque por
competencias",Alfaomega,2011,H62 L33 2011
3727,"Murcia M., J. D. (coord.)",Proyectos. Formulación y criterios de evaluación,Alfaomega,2009,HD69.P75 P78 2009
3728,"Morales Lizama, F.",Matemáticas V. Cálculo integral,Dirección General de Educación Tecnológica Industrial,2003,QA308 M67 2003
3729,"Dwyer, J., C. D. Berdanier & E. B. Feldman",Nutrición y alimentación,"McGraw-
Hill/Interamericana",2010,QP141 D99 2010
3730,"Brown, J. E.",Nutrición en las diferentes etapas de la vida,"McGraw-
Hill/Interamericana",2010,QP141 B76 2010
3731,"Thompson, J. L., M. M. Manore & L. A. Vaughan",Nutrición,Pearson Educación,2008,QP141 T49518 2008
3732,"Roth, R. A.",Nutrición y dietoterapia,"McGraw-
Hill/Interamericana",2009,RM216 R6818 2009
3733,"Casanueva, E., M. Kaufer-Horwitz, A. B. Pérez-
Lizaur & P. Arroyo",Nutriología médica,Médica Panmericana,2008,QP141 C37 2008
3734,"Pérez Lizaur NC, A. B., B. Palacios González & A. L.
Castro Becerra",Sistema mexicano de alimentos equivalentes,"Fomento de Nutrición y
Salud",2008,TX360.M6 P47 2008
3735,"Torres Morales, V.",Administración de ventas,Gpo. Editorial Patria,2013,HF5438.4 T67 2013
3736,"González, M., S. Olivares, N. González & J. M.
Ramos","Planeación e integración de los recursos humanos.
Capital humano",Gpo. Editorial Patria,2013,HF5549.5M3 G65 2013
3737,"Mora García, L. A.","Gestión logística en centros de distribución, bodegas y
almacenes",Ecoe,2011,HF5485 M67 2011
3738,"Covey, S. R.",Las 6 decisiones más importantes de tu vida,"Random House
Mondadori",2013,BJ1661 C6718 2013
3739,"Purcell, E. J., D. Varberg & S. E. Rigdon",Cálculo diferencial e integral,Pearson Educación,2007,QA303 P8718 2007
3740,"Ortíz Hernández, L., N. Ramos Ibáñez, D. Pérez
Salgado & M. Lucia Ramírez Aguilar",Fundamentos de nutrición para la consulta nutriológica,Trillas,2013,RA784 O77 2013
3741,"Ascencio Peralta, C.",Elementos fundamentales en el cálculo de dietas,El Manual Moderno,2011,RM216 A74 2011
3742,"Torre Marina, M. C., M. Fonseca Pereda & J. A.
Quintana López","El huevo: mitos, realidades y beneficios",Trillas,2012,TX745 T67 2012
3743,"Cervera, P., J. Clapés & R. Rigolfas","Alimentación y dietoterapia (Nutrición aplicada en la
salud y la enfermedad)","McGraw-
Hill/Interamericana",2004,TX353 C47 2004
3744,"Briones, G.","Métodos y técnias de investigación para las ciencias
sociales",Trillas,2012,H62 B74 2012
3745,"Gregory, P. A.",Fundamentos de economía (texto),Gpo. Editorial Patria,2010,HB171.5 G739418 2010 V.1
3746,"Gregory, P. A.",Fundamentos de economía (Guía de estudio),Gpo. Editorial Patria,2010,HB171.5 G739418 2010 V.2
3747,"Pedraza Rendón, O. H.",Modelo del Plan de negocios,Gpo. Editorial Patria,2013,HD62.5 P43 2013
3748,"Marcelino Aranda, M. & D. Ramírez Herrera",Administración de la calidad; nuevas perspectivas,Gpo. Editorial Patria,2012,TS156 M34 2012
3749,"García López, Y. G.",Geografía económica de México,Gpo. Editorial Patria,2007,HC135 G3575 2007
3750,"Cue Mancera, A. & L. Quintana Romero","Introdución a la macroeconomía: un enfoque integral
para México",Gpo. Editorial Patria,2008,HB172.5 C83 2008
3751,"Joyanes Aguilar, L. & I. Zahonero Martínez","Programación   en   Java   6:   algoritmos,   programación orientada a objetos e interfaz gráfica de usuario",McGraw- Hill/Interamericana,2011,QA76.73J38 J6965 2011
3752,"Taylor, J. B.",Economía,Gpo. Editorial Patria,2007,HB171 T39 2007
3753,"Gardner, H.","La inteligencia reformulada: las inteligencias múltiples
en el siglo XXI",Espasa libros,2010,BF432.3 G3718 2010
3754,"Zill, D. G. & W. S. Wright",Matemáticas. Cálculo de varias variables V.III,"McGraw-
Hill/Interamericana",2011,QA303 Z5518 2011 V.3
3755,"Zill, D. G. & W. S. Wright",Matemáticas. Cálculo de varias variables V.I,"McGraw-
Hill/Interamericana",2011,QA303 Z5518 2011 V.1
3756,"Álvarez Torres, M. G.",Manual de planeación estratégica,Panorama,2009,HD30.28 A565 2009
3757,"Ancheyta Juárez, J. & M. A. Valenzuela Zapata",Cinética química para sistemas homogéneos,"Instituto Politecnico
Nacional",2002,QD502 A53 2002
3758,"Fuenlabrada de la Vega Trucios, S.",Cálculo diferencial,"McGraw-
Hill/Interamericana",2004,QA304 F84 2004
3759,"Kindle, J. H.",Geometría analítica,"McGraw-
Hill/Interamericana",2007,QA555 K4918 2007
3760,"Manrique Valadez, J. A.",Transferencia de calor,Oxford,2002,TJ268 M34 2002
3761,"Hernández Luna, H., V. M. Martínez Reyes, F. del
M. Arrazola Domínguez, J. M. Moreya Mercado &
S. Hernández Garrido",Transformación y reciclado de polímeros,Instituto Politecnico Nacional,2010,TA455.P58 H47 2010
3762,"Gúzman Díaz, D., J. Rubén Zamudio, V. M. Polanco
Hurtado & E. Ulloa Castillejos",Introducción a la técnica instrumental,"Instituto Politecnico
Nacional",2007,QD53 I58 2007
3763,Oficina Internacional del Trabajo,"Seguridad en la utilización de productos químicos en el
trabajo",Alfaomega,2000,T55.3H3 S44 2000
3764,"Tiscareño Lechuga, F.","ABC para comprender reactores químicos con
multireacción",Reverté,2008,TP157 T57 2008
3765,"Correa Noguez, A. G.","Procesos de separación y operaciones unitarias.
Prácticas de laboratorio Tomo II","Instituto Politecnico
Nacional",2004,TP156.S45 C67 2004 T.2
3766,"Díaz Murillo, R.",Laboratorio de instrumentación y control,"Instituto Politecnico
Nacional",2008,TJ213 D529 2008
3767,"Correa Noguez, A. G.",Procesos de separación y operaciones unitarias. Tomo I,"Instituto Politecnico
Nacional",2004,TP156.S45 C67 2004 T.1
3768,"Rosales Guzmán, E.",Química 1. para bachillerato,Limusa,2005,QD49.M48 R67 2005
3769,"Cengel, Y. A. & M. A. Boles",Termodinámica Tomo I,"McGraw-
Hill/Interamericana",2001,TJ265 C45218 2001 T.1
3770,"Uribe Velasco, M.","Los polímeros. Síntesis, caracterización, degradación y
reología","Instituto Politecnico
Nacional",2007,QD196 U75 2007
3771,"Guzmán Herrera, A.",Geometría y trigonometría,Gpo. Editorial Patria,2000,QA531 G89 2000
3772,Oficina Internacional del Trabajo,"La prevención de los accidentes. Manual de educación
obrera",Alfaomega,2004,HD7262 P74 2004
3773,"Chávez Aparicio, F., R. Mejía corona y G. Pacheco
Díaz",Introducción a la metrología dimensional,"Instituto Politecnico
Nacional",2011,T50 I58 2011
3774,"Gutiérrez Aranzeta, C., V. Serrano Domínguez, R. Mata Hernández, G. García Arand, J. Espinosa Ruiz & G. Cordero Parra",Introducción a las mediciones prácticas de laboratorio,Instituto Politecnico Nacional,2008,QC88 I57 2008
3775,"González Velázque, J. L.",Metalurgía mecánica,Limusa,2006,TN665 G65 2006
3776,"Anda Gutiérrez, C.",Administración y calidad,Limusa,2006,HD38 A54 2006
3777,"Lowenthal, J. N.",Administración de proyectos de Six Sigma,Panorama,2003,TS156.8 L6918 2003
3778,"Lira Mojica, S.",Didáctica vectorial,"Instituto Politecnico
Nacional",2008,QA433 L57 2008
3779,"Aguilar Márquez, A., F. V. Bravo Vázquez, H. A. Gallegos Ruíz, M. Cerón Villegas & R. Reyes
Figueroa",Cálculo diferencial,Pearson Eduación,2010,QA304 C335 2010
3780,"Aguilar Márquez, A., F. V. Bravo Vázquez, H. A. Gallegos Ruíz, M. Cerón Villegas & R. Reyes
Figueroa",Cálculo integral,Pearson Eduación,2010,QA308 C34 2010
3781,"Anton, H., I. Bivens & S. Davis",Cálculo multivariable,Limusa Wiley,2009,QA303 A57618 2009
3782,"Courant, R. & F. John",Introducción al cálculo y al análisis matemático V.1,Limusa,2013,QA303 C72 2013 V.1
3783,"Villalobos Velázquez, A.",Álgebra lineal: con aplicación a problemas de economía,"Insituto Politecnico
Nacional",2009,QA184.5 V55 2009
3784,"Decelis Contreras, R.",Evaluación de proyectos,PROCULMEX .S.A.C.V,1994,HD75.9 .D43 1994
3785,"Mager, R. F.",Análisis de metas,Triillas,1986,LB1027 M3218 1986
3786,"Van der Merwer, C. W.",Teoria y problemas de física general,McGraw-Hill,1970,QC21.2 S3418 1970
3787,"Garzón, G.",Teoría y problemas de fundamentos de química general,"McGraw-
Hill/Interamericana",1980,QD31.2 G38 1980
3788,"Cardenas G., E.",Industria química orgánica,ANUIES,1975,QD271 C36 1975
3789,"fernández González, J. M., L. A. Huerta Tapia & M.
Rangel Rivera",Química y estructura de no metales. Parte 2,ANUIES,1976,QD161 F46 1976 T.1
3790,"Joseph-Nathan, P.",Análisis electroquímicos,ANUIES,1975,QD115 J68 1975
3791,"Skoog, D. A. & D. M. West",Introducción a la química analítica,Reverté,1986,QD75 S452 1986
3792,"Pérez Luna, M., H. Hernández Luna, V. M. Martínez
Reyes & C. G. Gómez Sierra",Curso de química orgánica. Vol. V,"Instituto Politecnico
Nacional",1996,QD253 P47 1996 V.5
3793,"Gómez Lara, J.",Química inorgánica,ANUIES,1972,QD151.2 G64 1972
3794,"Whittaker, D.",Estereoquímica y mecanismos,El Manual Moderno,1977,QD481 W45 1977
3795,"Trejo González, M.","La estructura del atómo a través del tiempo y de los
distintos modelos atómicos",Publicaciones Cultural,1986,QC173 T74 1986
3796,"Rakoff, H. & N. C. Rose",Química orgánica fundamental,Limusa,1971,QD253 R33 1971
3797,"Holland, C. D.","Fundamentos y modelos de procesos de separación: absorción, destilación, evaporación y extracción",Dossat,1981,TP156.S45 H6518 1981
3798,"Rivas Montes, J.",Manual de química: Cálculos estequiometricos,"UNAM Facultad e
Estudios Superioes de Zaragoza",1997,QD40 R564 1997
3799,"Lenz del Río, A.",Química orgánica elemental,Patría,1962,QD253 L49 1962
3800,"Siade Barquet, G.",Química orgánica,ANUIES,1972,QD251 S52 1972
3801,"García-Colín Scherer, L. & S. Godoy Salas",Conceptos básicos en termodinámica clásica,ANUIES,1976,QC311.15 G36 1976
3802,"Prieto, F. E.",Termodinamica,ANUIES,1973,QC311.15 P74 1973
3803,"Metz, C. R.",Teoría y problemas de fisicoquímica,McGraw-Hill,1977,QD456 M47718 1977
3804,"Soto Rodríguez, H., E. Espejel Zaval & H. F.
Martínez Frías","La formulación y evaluación técnico-economica de
proyectos industriales",Los Autores,1981,T56.8 S67 1981
3805,"Nash, W. A.",Theory and problems of strength of materials (Teoría y problemas de resistencia de materiales),Schaum,1957,TA405 N3 1957
3806,"Tavera Barquín, J.",Seguridad industrial,A.M.H.S.A.C.,1981,HD7262 T3 1981
3807,"Bastida Ferra, R.",Apuntes de propiedades de los materiales II,"Instituto Politecnico
Nacional",1986,TN671 B37 1986
3808,"King-Scott, P.","Control de producción para supervisores y jefes de
producción",Limusa,1984,TS155 K54 1984
3809,"Chávez Pérez, G., E. Cruz Rubio & J. Vera Rodríguez",Normas y tolerancias. Formación tecnológica industrial,Continental,1974,TA368 N66 1974
